index	sim_time	step_time	success	C01	C12	C23	D01	D12	D23	H01	H12	H23	state_r0	state_r1	state_r2	state_r3	speed_r0	speed_r1	speed_r2	speed_r3	actuation_r0	actuation_r1	actuation_r2	objective	
0	0.570591	0.381737	True	15.310498709460449	15.310499025554611	14.990893423273093	0.2500000034958262	0.25000000000009864	0.2268818409369303	1.436106662000045	1.4361066706040995	0.9349762293113706	[1.999999992371575, -7.040716144000949e-16, -3.1269826095715036e-05, -6.74434283687739e-11, 2.461746510340608e-07, -6.785635628583452e-11]	[2.500000000000001, -7.048240089712884e-16, -3.128445460671995e-05, -6.744342001007404e-11, -6.744342001465279e-11, -6.785634797914728e-11]	[3.000000000000001, -7.048240089712884e-16, -3.128445460671995e-05, -6.744342001007404e-11, -6.744342001465279e-11, -6.785634797914728e-11]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-1.525549130170278e-06, 1.4061409717431663e-13, -0.0062586638215348794, -1.3496836849916418e-08, 4.9264688846288165e-05, -1.35811726831489e-08]	[-1.4054730807431448e-13, 1.4061408926212882e-13, -0.006261591721627131, -1.3496836850106377e-08, -1.3496836850106273e-08, -1.35811726831489e-08]	[-1.4054730807431448e-13, 1.4061408926212882e-13, -0.006261591721627131, -1.3496836850106377e-08, -1.3496836850106273e-08, -1.35811726831489e-08]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.001751898242608665, 0.0, 0.003734375152897395, -2.155312274006554e-07, 0.0007867086912640735, -2.168237684945124e-07]	[0.0, 0.0, 0.0003748676150695102, -2.155312274006554e-07, -2.155312274006554e-07, -2.168237684945124e-07]	[0.0, 0.0, 0.0003748676150695102, -2.155312274006554e-07, -2.155312274006554e-07, -2.168237684945124e-07]	0.4199092479638941	
1	0.998568	0.383237	True	15.310497430184562	15.310499025554611	14.99095745214065	0.2500000176440684	0.25000000000009864	0.22688429204836422	1.4361066271910892	1.4361066706040995	0.9350234807651844	[1.9999999614983097, -1.1227605487946726e-14, -0.00012525056296795603, -2.66787359778168e-10, 9.752838442205221e-07, -2.67690410766596e-10]	[2.500000000000011, -1.1193541041850096e-14, -0.00012532436941007348, -2.667908607247249e-10, -2.667944920656868e-10, -2.676939122689641e-10]	[3.000000000000011, -1.11935410418501e-14, -0.00012532436941007348, -2.6679086072472423e-10, -2.6679449206568755e-10, -2.676975439919018e-10]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-4.638660473773402e-06, 1.1104010513469352e-12, -0.012542200832210752, -2.6376330757129277e-08, 9.657341071050807e-05, -2.6394957361613064e-08]	[-1.1194637102039945e-12, 1.1205265684397953e-12, -0.012551113007046621, -2.637705745780415e-08, -2.637778415069004e-08, -2.6395684236221285e-08]	[-1.1194637102039953e-12, 1.120526568439794e-12, -0.012551113007046621, -2.637705745780415e-08, -2.637778415069004e-08, -2.639641111082951e-08]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.0035717641597752883, -1.1604571670961534e-11, 0.007614459431331998, -2.0505181693766396e-07, 0.0007532069298897429, -2.036217173272253e-07]	[0.0, 0.0, 0.0007631976357116445, -2.0506342150933495e-07, -2.050750260810059e-07, -2.0363332189889625e-07]	[0.0, 0.0, 0.0007631976357116445, -2.0506342150933495e-07, -2.050750260810059e-07, -2.0364492647056724e-07]	0.45183723865766123	
2	1.415321	0.373146	True	15.310494209010784	15.310499025554611	14.991064381904186	0.2500000532621926	0.25000000000009864	0.22688838591846472	1.4361065393898138	1.4361066706040995	0.9351024043214609	[1.9999998837604676, -5.95375427832541e-14, -0.0002821751544561177, -6.55307375071967e-10, 2.43488143243741e-06, -6.66434670065478e-10]	[2.50000000000006, -5.940845052947797e-14, -0.0002823982759208414, -6.553247370641565e-10, -6.551701933069145e-10, -6.66365675988215e-10]	[3.00000000000006, -5.94084505294782e-14, -0.0002823982759208414, -6.553247370641927e-10, -6.551701933068784e-10, -6.662974868930668e-10]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-1.0858555982124682e-05, 3.8531471310729686e-12, -0.018847451068411358, -5.133601925966268e-08, 0.00019538164924046527, -5.3373431680746357e-08]	[-3.8778733642116825e-12, 3.8836223644012025e-12, -0.018868410916012206, -5.133820149762918e-08, -5.1305819530232634e-08, -5.335832910003676e-08]	[-3.877873364211626e-12, 3.883622364401259e-12, -0.018868410916012206, -5.133820149762918e-08, -5.1305819530232634e-08, -5.3343226519327165e-08]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.007133316677156222, -2.3209143341923067e-11, 0.015249166819213322, -3.976919809421961e-07, 0.0015746092395693622, -4.2886438401311796e-07]	[0.0, 0.0, 0.001471688262143828, -3.97715190085538e-07, -3.971864438634791e-07, -4.2861161547375946e-07]	[0.0, 0.0, 0.001471688262143828, -3.97715190085538e-07, -3.971864438634791e-07, -4.28358846934401e-07]	0.48387246623325997	
3	1.857891	0.385917	True	15.310487729457837	15.310499025554611	14.99121437637441	0.2500001248977716	0.25000000000009864	0.22689412950528054	1.4361063624951358	1.4361066706040995	0.935213139736917	[1.9999997273868597, -2.0710670127362638e-13, -0.0005022604758134112, -1.2871574173121054e-09, 4.861277534699266e-06, -1.326794630908202e-09]	[2.5000000000002074, -2.070311055894419e-13, -0.000502784507917445, -1.2872051163057817e-09, -1.2865743663443947e-09, -1.3264977676832054e-09]	[3.0000000000002074, -2.070311055894395e-13, -0.000502784507917445, -1.2872051163060324e-09, -1.286574366344144e-09, -1.3262113759455675e-09]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-2.0259459359111703e-05, 9.812905776133439e-12, -0.025174363156812842, -7.503498893905439e-08, 0.0002899058235766731, -7.871656844488493e-08]	[-9.843371645115637e-12, 9.863915167205921e-12, -0.025213599042394945, -7.503935672247492e-08, -7.497648687159431e-08, -7.868655813880437e-08]	[-9.843371645114823e-12, 9.863915167206735e-12, -0.025213599042394945, -7.503935672247491e-08, -7.497648687159432e-08, -7.865801038709854e-08]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.010773987612230767, -2.313885605343019e-11, 0.023055295052084715, -3.7704414661645554e-07, 0.001503968382510746, -4.00867685009485e-07]	[0.0, 0.0, 0.0021937228340805797, -3.770789603314684e-07, -3.765936062636523e-07, -4.006307399741239e-07]	[0.0, 0.0, 0.0021937228340805797, -3.770789603314684e-07, -3.765936062636523e-07, -4.004171446566818e-07]	0.5160652034827959	
4	2.279626	0.377058	True	15.310476323798067	15.310499025554611	14.991407588786078	0.2500002509699684	0.25000000000009864	0.2269015296437983	1.4361060505472423	1.4361066706040995	0.9353558266988758	[1.9999994521293962, -5.53905962389976e-13, -0.0007857064910447323, -2.210767188927321e-09, 8.505831479572544e-06, -2.3152959283049224e-09]	[2.5000000000005524, -5.525061291149218e-13, -0.0007867613388498715, -2.2108665329900605e-09, -2.209390128888635e-09, -2.3147006431490053e-09]	[3.0000000000005524, -5.525061291148886e-13, -0.0007867613388498715, -2.210866532991343e-09, -2.2093901288873527e-09, -2.31383978619004e-09]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-3.44208119937696e-05, 2.0185116210971286e-11, -0.03151960385649564, -1.0968781741666193e-07, 0.00043902256363086384, -1.1901179666429397e-07]	[-2.06359832524764e-11, 2.0691176843110304e-11, -0.03158655154688594, -1.096951010860385e-07, -1.0958882891674347e-07, -1.1898340083209194e-07]	[-2.0635983252471595e-11, 2.0691176843115118e-11, -0.03158655154688594, -1.096951010860384e-07, -1.0958882891674356e-07, -1.1889701336410706e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.016222512414205116, -5.210633076917997e-10, 0.03479823205047888, -5.521082446889719e-07, 0.0023760982975356963, -6.378041871149428e-07]	[0.0, 0.0, 0.00320461825834238, -5.521546629756557e-07, -5.514637036926189e-07, -6.378320629530424e-07]	[0.0, 0.0, 0.00320461825834238, -5.521546629756557e-07, -5.514637036926189e-07, -6.369106487491265e-07]	0.548368501511384	
5	2.711822	0.387388	True	15.310457965588942	15.310499025554611	14.991644161653499	0.2500004538549853	0.25000000000009864	0.22691059304433833	1.436105547587603	1.4361066706040995	0.9355306048235682	[1.9999990090826485, -1.2563191782433697e-12, -0.001132696031636177, -3.4713212117193546e-09, 1.3606643954546821e-05, -3.6936856359465262e-09]	[2.500000000001249, -1.2490840305684733e-12, -0.001134606979510717, -3.471492708858776e-09, -3.4687454689218804e-09, -3.6927984669501494e-09]	[3.000000000001249, -1.2490840305682613e-12, -0.001134606979510717, -3.471492708863277e-09, -3.468745468917377e-09, -3.6908114924362477e-09]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-5.342985467654633e-05, 3.699949264983806e-11, -0.037883082533469885, -1.424122847887863e-07, 0.0005811160078446749, -1.566907191156324e-07]	[-3.83149995890485e-11, 3.8428284388090203e-11, -0.03798738191698695, -1.4242248019552154e-07, -1.42274585056638e-07, -1.566636402301726e-07]	[-3.8314999589027086e-11, 3.842828438811163e-11, -0.03798738191698695, -1.4242248019552104e-07, -1.422745850566385e-07, -1.5652476591493699e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.02176198004943187, -1.0541639221505816e-09, 0.046740105609880254, -5.215207695257497e-07, 0.0022640402391529025, -5.932141327810323e-07]	[-1.1725387606804179e-11, 0.0, 0.004229116246139896, -5.215670669964977e-07, -5.209050102503764e-07, -5.932371455776361e-07]	[-1.1725387606804179e-11, 0.0, 0.004229116246139896, -5.215670669964977e-07, -5.209050102503764e-07, -5.924052388445091e-07]	0.5808275492870699	
6	3.133679	0.376874	True	15.310430248839745	15.310499025554611	14.991924226687143	0.25000076010757055	0.25000000000009864	0.22692132629331221	1.4361047868837638	1.4361066706040995	0.9357376136987027	[1.9999983401806936, -2.5225997146157075e-12, -0.0015433935020737256, -5.108864361493004e-09, 2.0419465247162372e-05, -5.528523064663654e-09]	[2.5000000000025007, -2.5008362230407116e-12, -0.0015465996637961002, -5.108975721199203e-09, -5.104550614600328e-09, -5.527340927671747e-09]	[3.0000000000025007, -2.500836223039732e-12, -0.0015465996637961002, -5.108975721211978e-09, -5.104550614587544e-09, -5.5234390046327725e-09]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-7.896737978184396e-05, 6.206006367283037e-11, -0.04426120210700499, -1.8508027219375555e-07, 0.0007814239685394039, -2.103100128182647e-07]	[-6.507398561308866e-11, 6.528673813707463e-11, -0.0444159811188461, -1.850642761694456e-07, -1.8487660777401884e-07, -2.1028395204787802e-07]	[-6.507398561301707e-11, 6.528673813714627e-11, -0.0444159811188461, -1.8506427616944393e-07, -1.848766077740205e-07, -2.1003975986266798e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.029222428805086027, -2.051905545397576e-09, 0.06290378497017979, -6.814361079656947e-07, 0.003197668387073201, -8.450650420540013e-07]	[-2.3450775213608357e-11, 0.0, 0.005523128321802996, -6.810176436117187e-07, -6.803844894025128e-07, -8.450831918091095e-07]	[-2.3450775213608357e-11, 0.0, 0.005523128321802996, -6.810176436117187e-07, -6.803844894025128e-07, -8.434115105291948e-07]	0.6133992739009617	
7	3.568441	0.387557	True	15.31039037895262	15.310499025554611	14.992247904653635	0.25000120056545666	0.25000000000009864	0.22693373585175028	1.4361036907741012	1.4361066706040995	0.9359769928820774	[1.9999973779779032, -4.63310624282283e-12, -0.002017944641775734, -7.160063160804532e-09, 2.918463057757528e-05, -7.880949611101985e-09]	[2.5000000000045834, -4.583661259135313e-12, -0.002023017646954891, -7.159841382550682e-09, -7.153350222349562e-09, -7.879463999813477e-09]	[3.0000000000045834, -4.5836612591318e-12, -0.002023017646954891, -7.159841382581369e-09, -7.15335022231885e-09, -7.87264537191275e-09]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-0.0001111345653159924, 9.795363927661868e-11, -0.05065382976772097, -2.251257383570159e-07, 0.0009715285748785619, -2.6020091525380294e-07]	[-1.0348059456755972e-10, 1.038566569869789e-10, -0.05087246262390819, -2.2508676862332338e-07, -2.2486124457614835e-07, -2.601770458203372e-07]	[-1.0348059456735796e-10, 1.0385665698718087e-10, -0.05087246262390819, -2.2508676862331862e-07, -2.248612445761531e-07, -2.5983782774244453e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.03678629201579812, -3.049647168644571e-09, 0.07929569066821562, -6.410121009280036e-07, 0.0030394622975398406, -7.817878297625827e-07]	[-3.517616282041254e-11, 0.0, 0.006830784454841418, -6.406463651333013e-07, -6.400421134610109e-07, -7.818246387663769e-07]	[-3.517616282041254e-11, 0.0, 0.006830784454841418, -6.406463651333013e-07, -6.400421134610109e-07, -7.803246414174881e-07]	0.6461257211866986	
8	4.002310	0.379395	True	15.310335147650777	15.310499025554611	14.992615305276889	0.25000181061601445	0.25000000000009864	0.22694782805544678	1.4361021697317282	1.4361066706040995	0.936248881929985	[1.9999960450429355, -7.930583762334521e-12, -0.002556474915437988, -9.65678745922829e-09, 4.016165519536364e-05, -1.08179051567026e-08]	[2.500000000007835, -7.834470857792068e-12, -0.0025641392631353924, -9.655560164890049e-09, -9.646772760316577e-09, -1.0815966787718196e-08]	[3.000000000007835, -7.834470857781515e-12, -0.0025641392631353924, -9.655560164956372e-09, -9.646772760250197e-09, -1.0804917340109367e-08]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-0.0001517411299931893, 1.4659772810252467e-10, -0.05705704128189387, -2.741720980817226e-07, 0.001223785843433867, -3.272205876346875e-07]	[-1.5619915147457068e-10, 1.5682954427737546e-10, -0.057356728581968205, -2.740302855692879e-07, -2.737966023142826e-07, -3.2717236744105497e-07]	[-1.5619915147407726e-10, 1.5682954427786942e-10, -0.057356728581968205, -2.740302855692761e-07, -2.737966023142944e-07, -3.26665299184737e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.04641549593915782, -4.932504591215393e-09, 0.10026545997870216, -7.8734752754764e-07, 0.004041988216081754, -1.051756715916585e-06]	[-4.6901550427216715e-11, 0.0, 0.008395145412462935, -7.857068466132257e-07, -7.855740553775126e-07, -1.0513696262694032e-06]	[-4.6901550427216715e-11, 0.0, 0.008395145412462935, -7.857068466132257e-07, -7.855740553775126e-07, -1.0487136391525547e-06]	0.6789663108475739	
9	4.438939	0.390547	True	15.310260922068272	15.310499025554611	14.993026527102485	0.25000263032294945	0.25000000000009864	0.22696360911362112	1.4361001221918859	1.4361066706040995	0.9365534203960393	[1.9999942536940885, -1.284320728621325e-11, -0.0031590892560448176, -1.2627462487658748e-08, 5.359237239950784e-05, -1.4400225517493765e-08]	[2.500000000012678, -1.2675071280857716e-11, -0.003170242924022322, -1.2624162812656158e-08, -1.261299916606754e-08, -1.439755525031071e-08]	[3.000000000012678, -1.2675071280830136e-11, -0.003170242924022322, -1.2624162812787451e-08, -1.2612999165936132e-08, -1.4380666298356375e-08]	[3.5, 0.0, -1.0, 0.0, 0.0, 0.0]	[-0.00020090320045010524, 2.1096480602601132e-10, -0.06347065847313932, -3.1988839313877643e-07, 0.0014621956630255486, -3.892587755653033e-07]	[-2.2621484997698006e-10, 2.272014986458798e-10, -0.06386889250919467, -3.1964930064903855e-07, -3.1940777322256325e-07, -3.8919055395835806e-07]	[-2.2621484997588402e-10, 2.2720149864697733e-10, -0.06386889250919467, -3.1964930064901224e-07, -3.194077732225895e-07, -3.885296091422346e-07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-0.056161216422321525, -6.862508741187578e-09, 0.12149449388141491, -7.37316834540596e-07, 0.0038325701665635065, -9.675358124678412e-07]	[-5.862693803402089e-11, -2.3573363700681935e-11, 0.00997318002897894, -7.357684635611091e-07, -7.356356654879597e-07, -9.672198648073978e-07]	[-5.862693803402089e-11, -2.3573363700681935e-11, 0.00997318002897894, -7.357684635611091e-07, -7.356356654879597e-07, -9.647987163809298e-07]	0.7119610075914261	
